"phi","n","blksize","CI","target","cov","LB","UB"
0.2,1600,24,"pctCI","mu",0.9398,0.934915252174811,0.944343363327333
0.2,1600,24,"ctrCI","mu",0.9402,0.93532959855038,0.944728695157395
0.2,1600,24,"bcCI","mu",0.9391,0.934190285362793,0.943668892955268
0.2,1600,24,"bcaCI","mu",0.9391,0.934190285362793,0.943668892955268
0.2,1600,24,"propCI","mu",0.939,0.93408673301928,0.943572525667916
0.2,200,12,"stdCI","mu",0.9209,0.915395574223276,0.926078122576664
0.2,200,12,"stuCI","mu",0.9398,0.934915252174811,0.944343363327333
0.2,200,12,"pctCI","mu",0.9197,0.914159587193405,0.924915060745264
0.2,200,12,"ctrCI","mu",0.9168,0.911174052350766,0.922102891747945
0.2,200,12,"bcCI","mu",0.9196,0.914056604198869,0.924818122974086
0.2,200,12,"bcaCI","mu",0.9194,0.913850645497095,0.924624240132033
0.2,200,12,"propCI","mu",0.9205,0.914983539145807,0.925690474768143
0.2,200,6,"stdCI","mu",0.9274,0.922096924042238,0.932371609337994
0.2,200,6,"stuCI","mu",0.9349,0.929844063151603,0.939618483983526
0.2,200,6,"pctCI","mu",0.9257,0.920343178545124,0.930726707252709
0.2,200,6,"ctrCI","mu",0.9218,0.916322798958083,0.926950184082099
0.2,200,6,"bcCI","mu",0.9262,0.92085890367605,0.931210584506447
0.2,200,6,"bcaCI","mu",0.9267,0.9213746971465,0.931694393292885
0.2,200,6,"propCI","mu",0.9254,0.920033776005976,0.930436348300608
0.2,3200,15,"stdCI","mu",0.9476,0.943006200381585,0.951846112637627
0.2,3200,15,"stuCI","mu",0.9488,0.94425321374584,0.952998123814779
0.2,3200,15,"pctCI","mu",0.9448,0.940098937951994,0.949155644621243
0.2,3200,15,"ctrCI","mu",0.9447,0.939995167973107,0.949059495497289
0.2,3200,15,"bcCI","mu",0.9465,0.941863663204975,0.950789542474059
0.2,3200,15,"bcaCI","mu",0.9466,0.94196750858109,0.950885616004723
0.2,3200,15,"propCI","mu",0.9454,0.94072164424087,0.94973245272772
0.2,3200,30,"stdCI","mu",0.9435,0.938750244079226,0.947905389356528
0.2,3200,30,"stuCI","mu",0.9465,0.941863663204975,0.950789542474059
0.2,3200,30,"pctCI","mu",0.9408,0.935951228139417,0.945306582618196
0.2,3200,30,"ctrCI","mu",0.9406,0.935744003514238,0.945113968261627
0.2,3200,30,"bcCI","mu",0.9407,0.935847613974296,0.945210277296831
0.2,3200,30,"bcaCI","mu",0.9403,0.935433194277224,0.944825018960558
0.2,3200,30,"propCI","mu",0.9404,0.935536793674388,0.944921339084768
0.2,400,15,"stdCI","mu",0.9292,0.923954712491203,0.934112387238372
0.2,400,15,"stuCI","mu",0.9406,0.935744003514238,0.945113968261627
0.2,400,15,"pctCI","mu",0.9292,0.923954712491203,0.934112387238372
0.2,400,15,"ctrCI","mu",0.9256,0.920240041663835,0.930629923641919
0.2,400,15,"bcCI","mu",0.9278,0.92250968652242,0.932758528421601
0.2,400,15,"bcaCI","mu",0.9281,0.922819287946867,0.93304868811341
0.2,400,15,"propCI","mu",0.9293,0.924057950160402,0.934209069869158
0.2,400,8,"stdCI","mu",0.9332,0.928086539555322,0.937977367535128
0.2,400,8,"stuCI","mu",0.9403,0.935433194277224,0.944825018960558
0.2,400,8,"pctCI","mu",0.9326,0.92746645529104,0.93739793132623
0.2,400,8,"ctrCI","mu",0.9296,0.924367680592793,0.934499100302549
0.2,400,8,"bcCI","mu",0.932,0.926846482591111,0.93681838332274
0.2,400,8,"bcaCI","mu",0.9341,0.929016878193278,0.938846309163945
0.2,400,8,"propCI","mu",0.9323,0.927156455081475,0.93710817121255
0.2,800,10,"stdCI","mu",0.9408,0.935951228139417,0.945306582618196
0.2,800,10,"stuCI","mu",0.9453,0.940617849518961,0.949636328410368
0.2,800,10,"pctCI","mu",0.9404,0.935536793674388,0.944921339084768
0.2,800,10,"ctrCI","mu",0.9393,0.934397400766418,0.943861616788687
0.2,800,10,"bcCI","mu",0.94,0.935122418073303,0.944536036548708
0.2,800,10,"bcaCI","mu",0.94,0.935122418073303,0.944536036548708
0.2,800,10,"propCI","mu",0.9405,0.935640396750503,0.945017655521359
0.2,800,19,"stdCI","mu",0.9378,0.932844380368836,0.942415842118954
0.2,800,19,"stuCI","mu",0.9459,0.94124068048243,0.950213011520003
0.2,800,19,"pctCI","mu",0.9368,0.931809468314844,0.94145155647973
0.2,800,19,"ctrCI","mu",0.9371,0.932119905999591,0.941740878183027
0.2,800,19,"bcCI","mu",0.9371,0.932119905999591,0.941740878183027
0.2,800,19,"bcaCI","mu",0.9371,0.932119905999591,0.941740878183027
0.2,800,19,"propCI","mu",0.9365,0.931499061133761,0.941162204205289
0.4,100,10,"stdCI","mu",0.8839,0.877422261231572,0.890080558005699
0.4,100,10,"stuCI","mu",0.9234,0.917971705495527,0.928500007745771
0.4,100,10,"pctCI","mu",0.884,0.877524569645458,0.890178171302883
0.4,100,10,"ctrCI","mu",0.8767,0.870059864932837,0.883048586931361
0.4,100,10,"bcCI","mu",0.8845,0.878036134087229,0.890666215391304
0.4,100,10,"bcaCI","mu",0.8862,0.879775734526545,0.892325283635793
0.4,100,10,"propCI","mu",0.8846,0.878138451461809,0.890763819717706
0.4,100,5,"stdCI","mu",0.8899,0.883563461079374,0.895934657734302
0.4,100,5,"stuCI","mu",0.9098,0.903975458153342,0.915307015717877
0.4,100,5,"pctCI","mu",0.8907,0.884382712739317,0.896714778852877
0.4,100,5,"ctrCI","mu",0.8816,0.875069574952743,0.887835044476381
0.4,100,5,"bcCI","mu",0.8914,0.885099642420638,0.897397300251123
0.4,100,5,"bcaCI","mu",0.8951,0.888890465690193,0.901003573905166
0.4,100,5,"propCI","mu",0.8908,0.884485126420439,0.896812286760397
0.4,1600,12,"stdCI","mu",0.9337,0.928603362669917,0.938460144635266
0.4,1600,12,"stuCI","mu",0.9362,0.931188684255478,0.940872821561354
0.4,1600,12,"pctCI","mu",0.9324,0.927259785396326,0.937204761011804
0.4,1600,12,"ctrCI","mu",0.9317,0.926536537650403,0.936528567826964
0.4,1600,12,"bcCI","mu",0.9336,0.928499991732264,0.938363595543195
0.4,1600,12,"bcaCI","mu",0.9326,0.92746645529104,0.93739793132623
0.4,1600,12,"propCI","mu",0.933,0.927879832319094,0.937784234639526
0.4,1600,24,"stdCI","mu",0.9372,0.93222339204149,0.94183731192201
0.4,1600,24,"stuCI","mu",0.9403,0.935433194277224,0.944825018960558
0.4,1600,24,"pctCI","mu",0.9355,0.930464588272768,0.940197478403838
